bowler,bowling_style,total_deliveries,avg_speed,speed_variability,avg_swing,speed_rank,swing_rank
Krishnappa Gowtham,OFF_SPIN,414,97.43,4.34,0.047,396,451
Rohan Mustafa,OFF_SPIN,413,97.1,7.71,0.088,397,377
Shivil Kaushik,UNORTHODOX,210,95.76,4.63,0.009,398,504
Varun Chakaravarthy,LEG_SPIN,747,95.48,5.41,0.178,399,205
Jenny Gunn,MEDIUM_SEAM,414,95.35,10.54,0.108,400,336
Krunal Pandya,ORTHODOX,1617,95.11,7.3,0.103,401,345
Washington Sundar,OFF_SPIN,1050,95.09,6.28,0.024,402,475
Nitish Rana,OFF_SPIN,119,94.86,7.8,0.054,403,437
David Warner,LEG_SPIN,214,94.6,17.87,-0.093,404,602
Harpreet Brar,ORTHODOX,196,94.5,3.58,0.169,405,215
David Hussey,SEAM,225,94.38,9.03,0.001,406,515
Sripali Weerakkody,MEDIUM_SEAM,121,94.34,4.39,0.491,407,1
Roelof van der Merwe,ORTHODOX,128,94.2,7.5,0.064,408,419
KC Cariappa,LEG_SPIN,224,93.62,7.89,0.066,409,418
Abdur Rehman,,501,93.45,5.76,-0.055,410,572
Udeshika Prabodhani,MEDIUM_SEAM,72,93.42,2.86,-0.086,411,598
Swapnil Singh,SEAM,61,93.33,7.28,0.157,412,237
Rashid Khan,LEG_SPIN,5405,93.32,4.69,0.145,413,255
Mujeeb Ur Rahman,OFF_SPIN,2202,93.31,5.15,0.114,414,325
Shahbaz Ahmed,ORTHODOX,121,93.24,3.49,0.071,415,410
Mahipal Lomror,ORTHODOX,61,93.07,4.43,0.203,416,138
Axar Patel,ORTHODOX,5361,92.83,5.62,0.125,417,300
Ehsan Khan,OFF_SPIN,109,92.82,3.54,0.119,418,311
Murali Vijay,SEAM,75,92.69,5.79,0.03,419,467
Michael Yardy,,160,92.43,10.53,0.032,420,465
Parveez Rasool,SEAM,261,92.42,6.23,-0.027,421,545
Ravi Bishnoi,LEG_SPIN,532,92.36,3.87,0.256,422,47
Shahid Afridi,LEG_SPIN,2845,92.28,6.0,0.025,423,474
Ainsley Ndlovu,ORTHODOX,252,92.28,9.62,-0.045,424,560
Rahul Sharma,SEAM,507,92.21,5.74,-0.02,425,537
Shivam Sharma,SEAM,114,92.19,4.34,-0.082,426,594
Samuel Badree,SEAM,263,92.08,5.91,0.09,427,370
Yusuf Pathan,SEAM,550,91.9,6.13,0.003,428,514
Sunil Narine,OFF_SPIN,5972,91.87,5.9,0.158,429,232
Riyan Parag,LEG_SPIN,136,91.75,6.04,0.001,430,516
Murali Kartik,SEAM,515,91.61,7.78,0.014,431,493
Deepak Hooda,OFF_SPIN,335,91.54,4.58,-0.056,432,573
Ali Murtaza,SEAM,74,91.51,4.02,0.059,433,432
Mark Watt,ORTHODOX,316,91.49,5.52,0.143,434,260
Ravindra Jadeja,ORTHODOX,21556,91.23,4.84,-0.054,435,568
Matt Machan,,79,91.07,6.03,-0.195,436,661
Imad Wasim,ORTHODOX,2314,90.98,5.87,0.049,437,443
Rachin Ravindra,,96,90.75,3.9,0.043,438,454
Iqbal Abdulla,SEAM,569,90.46,4.71,0.026,439,472
Suresh Raina,OFF_SPIN,1691,90.34,5.44,0.015,440,492
Tafadzwa Kamungozi,,399,90.32,4.66,0.088,441,375
Pawan Negi,ORTHODOX,733,90.26,5.32,0.062,442,425
Syed Mohammad,SEAM,105,90.22,4.57,0.323,443,10
Rahul Chahar,LEG_SPIN,917,90.16,4.4,-0.018,444,534
Chris Gayle,OFF_SPIN,730,90.14,10.09,0.062,445,426
Ankit Sharma,SEAM,375,90.12,4.49,0.084,446,386
Ashton Agar,ORTHODOX,1484,90.1,4.86,-0.023,447,540
Jimmy Hansra,,145,89.99,5.97,0.024,448,477
Daniel Vettori,ORTHODOX,1780,89.97,7.21,0.091,449,367
Asela Gunaratne,,846,89.91,8.64,0.174,450,207
Sohaib Maqsood,,55,89.88,3.59,-0.145,451,638
Tendai Chisoro,,639,89.82,5.72,-0.02,452,536
Kinchit Shah,,54,89.82,2.85,-0.238,453,674
Monty Panesar,ORTHODOX,1523,89.8,5.1,-0.055,454,571
Nadeem Ahmed,,84,89.75,3.81,0.126,455,297
Murugan Ashwin,LEG_SPIN,694,89.71,4.48,0.096,456,359
Anton Devcich,,335,89.68,5.04,0.25,457,58
Khary Pierre,ORTHODOX,98,89.61,3.28,0.044,458,453
Saeed Ajmal,OFF_SPIN,6476,89.54,5.87,0.105,459,340
Ashley Nurse,OFF_SPIN,1906,89.51,4.91,0.132,460,283
Shahbaz Nadeem,ORTHODOX,1797,89.49,7.02,0.051,461,440
Abdur Razzak,ORTHODOX,1404,89.31,5.61,0.058,462,433
Marnus Labuschagne,LEG_SPIN,449,89.29,3.14,-0.127,463,628
Glenn Maxwell,OFF_SPIN,3736,89.24,5.52,-0.016,464,532
Bhargav Bhatt,SEAM,131,89.13,4.57,0.011,465,499
Sulieman Benn,,1445,89.08,6.33,-0.068,466,581
Ajantha Mendis,OFF_SPIN,2202,89.07,6.69,0.085,467,383
Marlon Samuels,OFF_SPIN,2562,89.03,7.46,0.199,468,147
Xavier Doherty,,978,89.02,4.8,0.047,469,449
Mosharraf Hossain,ORTHODOX,66,88.9,3.07,-0.003,470,520
Nathan McCullum,,2088,88.87,5.34,0.071,471,409
Harbhajan Singh,OFF_SPIN,4393,88.81,6.27,0.149,472,248
Paul Stirling,OFF_SPIN,1340,88.81,6.39,0.068,473,415
Shem Ngoche,,85,88.76,3.82,-0.05,474,565
James Ngoche,,171,88.67,5.73,0.29,475,22
Shehan Jayasuriya,OFF_SPIN,253,88.58,6.29,0.022,476,478
Mohammad Nawaz,ORTHODOX,1093,88.52,3.99,-0.029,477,547
John Davison,,212,88.47,5.42,0.018,478,486
Fabian Allen,ORTHODOX,577,88.4,4.84,-0.008,479,526
Piyush Chawla,LEG_SPIN,2665,88.34,6.6,0.086,480,380
Shadab Jakati,SEAM,425,88.22,3.81,0.01,481,501
Malcolm Waller,,451,88.15,5.22,-0.007,482,525
Jayant Yadav,OFF_SPIN,1029,88.1,5.98,0.143,483,257
Nathan Lyon,OFF_SPIN,22251,88.1,6.31,0.195,484,152
D'Arcy Short,UNORTHODOX,60,88.09,3.44,0.004,485,512
Pravin Tambe,LEG_SPIN,674,88.07,5.25,0.07,486,411
Ankit Soni,SEAM,112,87.99,5.4,0.056,487,435
Mohammad Nabi,OFF_SPIN,4094,87.97,6.7,0.018,488,482
Shreyas Gopal,LEG_SPIN,940,87.95,6.04,0.156,489,241
Nasir Hossain,,1079,87.94,4.7,0.032,490,464
Johan Botha,SEAM,674,87.87,6.78,0.112,491,327
Hanuma Vihari,OFF_SPIN,391,87.85,3.34,-0.039,492,554
Narsingh Deonarine,,183,87.83,5.99,-0.005,493,522
Zafar Gohar,,61,87.78,1.73,-0.252,494,678
Joe Root,OFF_SPIN,3872,87.77,5.26,-0.049,495,564
Mitchell Santner,ORTHODOX,6050,87.76,5.16,0.013,496,495
Rahul Tewatia,LEG_SPIN,816,87.65,4.84,0.16,497,228
Simi Singh,OFF_SPIN,562,87.6,3.38,0.192,498,162
Jermaine Blackwood,OFF_SPIN,408,87.59,7.12,0.155,499,243
Chaturanga de Silva,,319,87.57,3.04,0.128,500,292
Nikita Miller,,415,87.54,4.24,-0.046,501,562
Ray Price,,300,87.43,5.77,0.235,502,79
Gareth Delany,LEG_SPIN,92,87.42,3.81,0.048,503,446
Travis Head,OFF_SPIN,908,87.42,4.36,0.072,504,408
Ankeet Chavan,SEAM,225,87.4,5.64,0.038,505,458
Moeen Ali,OFF_SPIN,16680,87.4,4.65,0.179,506,200
Jimmy Kamande,,160,87.37,5.06,0.25,507,60
Akeal Hosein,ORTHODOX,317,87.37,4.08,-0.171,508,643
KP Appanna,SEAM,107,87.3,4.61,-0.01,509,527
Iftikhar Ahmed,OFF_SPIN,141,87.28,3.15,-0.197,510,663
George Linde,ORTHODOX,473,87.26,2.65,-0.142,511,637
Aiden Markram,OFF_SPIN,329,87.25,4.7,0.035,512,461
Veerasammy Permaul,,173,87.16,4.69,-0.192,513,658
Brad Hogg,SEAM,466,87.06,6.83,-0.117,514,618
Jagadeesha Suchith,ORTHODOX,319,86.98,4.85,0.104,515,341
Mohammad Hafeez,OFF_SPIN,5148,86.84,4.12,0.09,516,371
Mosaddek Hossain,OFF_SPIN,906,86.75,5.43,0.099,517,353
Nauman Ali,ORTHODOX,479,86.75,3.77,-0.077,518,589
George Dockrell,ORTHODOX,2613,86.62,6.14,0.033,519,463
Zulfiqar Babar,,297,86.58,4.41,0.015,520,490
Andy McBrine,OFF_SPIN,2013,86.55,4.45,0.157,521,238
JP Duminy,SEAM,2821,86.55,5.24,-0.003,522,519
Arafat Sunny,,837,86.55,4.33,0.114,523,324
Sandeep Lamichhane,LEG_SPIN,211,86.54,3.56,0.158,524,234
Shadab Khan,LEG_SPIN,2930,86.5,3.76,-0.083,525,597
Samit Patel,,133,86.47,5.03,-0.036,526,553
Yuvraj Singh,ORTHODOX,1138,86.44,6.55,0.131,527,288
Michael Leask,OFF_SPIN,221,86.39,3.53,0.159,528,229
Imran Tahir,LEG_SPIN,8890,86.35,6.21,0.026,529,471
Graeme Swann,OFF_SPIN,4350,86.34,4.66,0.133,530,281
Harry Tector,,51,86.33,2.85,0.462,531,4
Sabbir Rahman,LEG_SPIN,452,86.28,3.68,-0.044,532,558
Roston Chase,OFF_SPIN,5032,86.19,4.89,0.222,533,101
Adam Zampa,LEG_SPIN,2979,86.17,5.14,0.016,534,489
Rohit Sharma,OFF_SPIN,488,86.16,5.85,0.096,535,360
Shoaib Malik,OFF_SPIN,1763,86.14,4.38,0.025,536,473
Ravichandran Ashwin,OFF_SPIN,25550,86.13,5.89,0.123,537,305
Aaron Phangiso,,1061,86.05,4.06,-0.063,538,578
Wellington Masakadza,,870,86.05,5.43,0.08,539,389
William Somerville,OFF_SPIN,1057,85.96,4.57,0.132,540,285
Kraigg Brathwaite,OFF_SPIN,2204,85.95,7.62,0.089,541,373
Pragyan Ojha,ORTHODOX,3239,85.94,5.26,-0.033,542,551
Danushka Gunathilaka,OFF_SPIN,579,85.93,6.33,-0.202,543,664
Karn Sharma,LEG_SPIN,1647,85.92,5.08,-0.071,544,582
James Tredwell,,1714,85.89,5.44,0.076,545,400
Sean Williams,ORTHODOX,3984,85.86,4.68,0.018,546,487
Gregory Lamb,,217,85.81,5.27,0.25,547,59
Kamindu Mendis,OFF_SPIN,103,85.78,2.84,-0.066,548,580
Dom Bess,OFF_SPIN,1181,85.78,3.57,0.206,549,123
Abhishek Sharma,ORTHODOX,137,85.73,4.0,-0.051,550,566
Tillakaratne Dilshan,OFF_SPIN,2472,85.64,4.81,0.056,551,434
Mohammad Tauqir,,267,85.62,5.99,0.134,552,278
Ambati Rayudu,OFF_SPIN,124,85.49,4.88,-0.118,553,619
Gareth Batty,OFF_SPIN,320,85.48,3.5,0.07,554,412
Jason Krejza,,375,85.45,4.79,0.227,555,92
Pradeep Sahu,SEAM,107,85.42,7.73,-0.014,556,531
Balaji Rao,,327,85.37,4.69,-0.127,557,630
Dane Piedt,OFF_SPIN,1825,85.31,5.03,0.184,558,186
Muttiah Muralitharan,OFF_SPIN,922,85.3,6.03,0.128,559,295
Suraj Randiv,,223,85.27,3.98,0.171,560,213
Stephen Parry,,116,85.21,4.8,0.007,561,507
Bilal Asif,,133,85.21,1.71,0.096,562,361
Javed Ahmadi,OFF_SPIN,167,85.12,3.95,0.264,563,38
Nayeem Hasan,OFF_SPIN,1142,85.06,3.82,0.236,564,77
Raza Hasan,,62,85.05,2.48,-0.212,565,668
Tinotenda Mutombodzi,LEG_SPIN,320,84.97,2.0,-0.082,566,595
Dilruwan Perera,OFF_SPIN,11250,84.95,3.89,0.114,567,323
Kevin Pietersen,OFF_SPIN,172,84.94,6.83,0.078,568,397
Jack Leach,ORTHODOX,3361,84.94,3.79,-0.136,569,635
Samiullah Shinwari,LEG_SPIN,625,84.92,4.67,-0.06,570,576
Martin Guptill,OFF_SPIN,173,84.91,3.53,0.115,571,319
Shikhar Dhawan,OFF_SPIN,91,84.9,5.15,0.039,572,456
Ajit Chandila,SEAM,234,84.86,3.87,0.122,573,307
Sohag Gazi,,546,84.81,3.42,0.117,574,315
Yuzvendra Chahal,LEG_SPIN,5215,84.81,5.73,-0.046,575,561
Ramesh Mendis,OFF_SPIN,156,84.81,3.64,0.479,576,2
Fakhar Zaman,ORTHODOX,135,84.78,4.74,0.149,577,249
Mehidy Hasan,OFF_SPIN,7675,84.73,3.88,0.119,578,312
Asad Shafiq,OFF_SPIN,295,84.7,4.06,0.073,579,407
Mahmudullah,OFF_SPIN,2654,84.67,4.93,0.116,580,316
Mayank Markande,LEG_SPIN,323,84.67,4.75,0.09,581,369
Ahmed Shehzad,,100,84.56,1.9,-0.098,582,607
Tabraiz Shamsi,UNORTHODOX,1499,84.56,4.07,0.04,583,455
Michael Clarke,ORTHODOX,560,84.48,4.48,0.032,584,466
Sachithra Senanayake,SEAM,2052,84.46,4.54,0.063,585,423
Faf du Plessis,LEG_SPIN,176,84.43,3.8,-0.108,586,610
Kusal Mendis,LEG_SPIN,105,84.42,7.06,-0.091,587,600
Yasir Shah,LEG_SPIN,13283,84.36,3.66,-0.242,588,676
Haris Sohail,ORTHODOX,1093,84.35,3.5,-0.095,589,604
Brandon Mavuta,LEG_SPIN,587,84.34,3.74,-0.04,590,557
Ajaz Patel,ORTHODOX,1866,84.32,3.51,-0.125,591,626
Adam Voges,,113,84.26,3.46,0.105,592,339
Robin Peterson,SEAM,1025,84.18,5.08,0.047,593,450
Nazmul Islam,ORTHODOX,441,84.17,4.91,0.037,594,460
Kane Williamson,OFF_SPIN,2399,84.14,4.58,0.147,595,252
Liam Dawson,,84,84.09,3.51,-0.126,596,627
Fawad Ahmed,,84,84.06,4.68,-0.22,597,671
Amila Aponso,,431,84.05,4.65,0.012,598,497
Natsai Mushangwe,,219,84.04,4.78,-0.061,599,577
Taijul Islam,ORTHODOX,7610,84.02,4.16,-0.044,600,559
Pieter Seelaar,,360,84.01,6.17,0.018,601,485
Graeme Smith,OFF_SPIN,60,84.01,4.04,-0.188,602,655
Jeffrey Vandersay,LEG_SPIN,504,83.99,3.51,0.007,603,506
Jason Mohammed,,385,83.91,3.82,0.049,604,442
Azhar Ali,LEG_SPIN,973,83.84,3.15,-0.166,605,642
Kedar Jadhav,OFF_SPIN,1215,83.77,6.87,-0.089,606,599
Ashan Priyanjan,,251,83.74,4.54,-0.024,607,541
Dhananjaya de Silva,OFF_SPIN,3037,83.7,5.62,-0.031,608,549
,,133,83.66,3.9,0.013,609,496
Wanindu Hasaranga,LEG_SPIN,657,83.63,3.73,0.006,610,510
Nasir Aziz,,96,83.57,4.85,0.076,611,401
Rahmat Shah,LEG_SPIN,357,83.53,3.68,-0.048,612,563
Aaron Finch,ORTHODOX,311,83.52,8.17,0.099,613,352
Naeem Islam,,235,83.51,4.28,0.018,614,483
Ish Sodhi,LEG_SPIN,4934,83.48,4.23,-0.141,615,636
Prabath Jayasuriya,ORTHODOX,96,83.38,2.82,0.006,616,508
Khan Abdur Razzak,,295,83.38,4.74,0.011,617,500
Amit Mishra,LEG_SPIN,5068,83.36,6.79,-0.02,618,538
Keshav Maharaj,ORTHODOX,6689,83.29,3.78,-0.112,619,614
Collins Obuya,,74,83.28,5.42,-0.018,620,533
Jomel Warrican,ORTHODOX,1979,83.27,5.44,-0.078,621,590
Shaiman Anwar,LEG_SPIN,76,83.25,5.0,0.473,622,3
Karanveer Singh,SEAM,213,83.06,7.58,-0.096,623,605
Steve Tikolo,,129,83.03,4.49,0.16,624,227
John Campbell,OFF_SPIN,68,82.99,3.37,0.156,625,239
Senuran Muthusamy,ORTHODOX,232,82.91,2.62,-0.053,626,567
Bipul Sharma,SEAM,298,82.81,5.19,0.128,627,293
Suhrawadi Shuvo,,60,82.73,2.38,0.094,628,362
Joe Denly,LEG_SPIN,218,82.46,3.56,-0.187,629,652
Sachith Pathirana,,776,82.45,4.0,0.049,630,444
Sikandar Raza,OFF_SPIN,3990,82.43,5.64,0.059,631,431
Gurkeerat Mann Singh,OFF_SPIN,142,82.4,5.93,0.101,632,349
Rahkeem Cornwall,OFF_SPIN,1762,82.18,3.84,0.162,633,226
Niroshan Dickwella,,106,82.18,3.43,0.012,634,498
Seekkuge Prasanna,,1529,82.15,3.52,-0.011,635,528
Nkrumah Bonner,LEG_SPIN,68,81.67,3.33,-0.195,636,662
Adeel Raja,,90,81.63,4.47,-0.026,637,543
Shakib Al Hasan,ORTHODOX,11177,81.48,5.44,0.047,638,448
Graeme Cremer,,2586,81.45,4.48,-0.098,639,606
Lasith Embuldeniya,ORTHODOX,2466,81.45,3.46,-0.108,640,609
Sunzamul Islam,ORTHODOX,392,81.34,4.05,0.008,641,505
Mohammad Ashraful,,67,81.31,3.9,0.034,642,462
Dawid Malan,LEG_SPIN,156,81.3,1.14,-0.387,643,689
Mominul Haque,ORTHODOX,667,81.26,3.47,0.003,644,513
Jubair Hossain,,115,81.24,2.26,0.103,645,344
Devendra Bishoo,LEG_SPIN,6385,81.23,4.7,-0.183,646,648
Akila Dananjaya,OFF_SPIN,3233,80.99,4.35,0.139,647,268
Rangana Herath,ORTHODOX,15755,80.91,5.16,0.006,648,509
Adil Rashid,LEG_SPIN,8845,80.9,4.77,-0.129,649,631
Prosper Utseya,OFF_SPIN,2214,80.63,6.66,0.274,650,29
Tom Cooper,,250,80.43,5.26,0.104,651,343
Steve Smith,LEG_SPIN,1360,80.34,4.43,-0.109,652,613
Milinda Siriwardana,ORTHODOX,1021,80.27,4.31,-0.039,653,555
Hayley Matthews,OFF_SPIN,55,79.72,4.72,0.111,654,330
Danni Wyatt,OFF_SPIN,111,79.71,6.97,0.206,655,128
Ryan Burl,LEG_SPIN,83,79.61,1.21,-0.022,656,539
Sachin Tendulkar,OFF_SPIN,87,79.45,5.82,-0.066,657,579
Jeevan Mendis,LEG_SPIN,579,79.44,5.17,-0.072,658,584
Angelo Perera,ORTHODOX,66,79.4,6.24,-0.124,659,625
Lakshan Sandakan,UNORTHODOX,3320,79.28,4.99,0.077,660,398
Kuldeep Yadav,UNORTHODOX,5249,79.15,4.86,0.06,661,429
Anuja Patil,OFF_SPIN,140,78.97,4.56,0.0,662,517
Sophie Ecclestone,ORTHODOX,1042,78.87,4.79,-0.011,663,529
Malinda Pushpakumara,ORTHODOX,974,78.49,5.2,-0.025,664,542
Laura Marsh,OFF_SPIN,763,78.32,4.68,0.112,665,328
Dean Elgar,ORTHODOX,1024,78.21,5.86,-0.033,666,552
Ashleigh Gardner,OFF_SPIN,394,77.81,5.2,-0.007,667,524
Stafanie Taylor,OFF_SPIN,246,77.29,4.7,0.084,668,385
Harmanpreet Kaur,OFF_SPIN,231,76.54,5.08,-0.019,669,535
Majid Haq,,208,76.5,5.1,0.112,670,329
Jess Jonassen,ORTHODOX,431,76.39,3.83,0.067,671,416
Sana Mir,OFF_SPIN,60,76.29,2.63,0.136,672,275
Salma Khatun,OFF_SPIN,61,75.63,3.57,-0.006,673,523
Sophie Molineux,ORTHODOX,222,75.34,4.19,0.024,674,476
Heather Knight,OFF_SPIN,354,74.95,2.98,0.067,675,417
Anisa Mohammed,OFF_SPIN,232,73.52,2.37,0.254,676,51
Sneh Rana,OFF_SPIN,280,73.23,2.89,0.214,677,112
Deepti Sharma,OFF_SPIN,664,73.03,4.42,0.187,678,183
Rajeshwari Gayakwad,ORTHODOX,236,72.72,3.95,-0.031,679,548
Kirstie Gordon,ORTHODOX,220,71.65,2.65,-0.071,680,583
Shashikala Siriwardene,OFF_SPIN,266,71.48,5.3,0.253,681,53
Alex Hartley,ORTHODOX,277,71.35,2.58,0.068,682,414
Amelia Kerr,LEG_SPIN,67,71.24,2.2,-0.054,683,569
Georgia Wareham,LEG_SPIN,108,71.23,2.18,0.029,684,468
Afy Fletcher,LEG_SPIN,60,71.21,2.97,-0.235,685,672
Ekta Bisht,ORTHODOX,488,70.78,3.73,0.063,686,424
Inoka Ranaweera,ORTHODOX,116,70.38,4.05,0.018,687,484
Nashra Sandhu,ORTHODOX,61,70.1,2.28,-0.026,688,544
Radha Yadav,ORTHODOX,133,69.37,3.46,-0.112,689,615
Harleen Deol,OFF_SPIN,54,67.84,3.9,-0.118,690,621
Poonam Yadav,LEG_SPIN,515,61.27,3.42,-0.092,691,601
Tom Sole,OFF_SPIN,96,,,,692,692
Chamika Karunaratne,MEDIUM_SEAM,164,,,,692,692
Sharafuddin Ashraf,ORTHODOX,120,,,,692,692
Edgar Schiferli,,72,,,,692,692
Prince Masvaure,FAST_SEAM,112,,,,692,692
Jacob Mulder,MEDIUM_SEAM,192,,,,692,692
Zahir Khan,UNORTHODOX,65,,,,692,692
Chaminda Bandara,,61,,,,692,692
Amir Hamza,,1050,,,,692,692
Andy McBrine DUPLICATE,,72,,,,692,692
Calum MacLeod,MEDIUM_SEAM,171,,,,692,692
Michael Rippon,,69,,,,692,692
Waqar Salamkheil,UNORTHODOX,186,,,,692,692
Niall O'Brien,,61,,,,692,692
Jeetan Patel,,215,,,,692,692
Imran Haider,LEG_SPIN,151,,,,692,692
Qadeer Ahmed,MEDIUM_SEAM,128,,,,692,692
Zahoor Khan,MEDIUM_SEAM,321,,,,692,692
Fareed Ahmad,,123,,,,692,692
Michael Swart,,90,,,,692,692
James Cameron-Dow,ORTHODOX,336,,,,692,692
Rokhan Barakzai,,62,,,,692,692
Mohammad Sami,,98,,,,692,692
Liam Roche,OFF_SPIN,142,,,,692,692
Ahmed Raza,ORTHODOX,268,,,,692,692
Ronsford Beaton,MEDIUM_SEAM,51,,,,692,692
Ahsan Malik,,79,,,,692,692
Vusi Sibanda,,129,,,,692,692
John Nyumbu,,863,,,,692,692
Con de Lange,,60,,,,692,692
Aamer Yamim,,162,,,,692,692
Seth Rance,MEDIUM_SEAM,107,,,,692,692
Luke Jongwe,,905,,,,692,692
Michael Chinouya,,68,,,,692,692
Todd Astle,LEG_SPIN,453,,,,692,692
Stuart Whittingham,FAST_SEAM,169,,,,692,692
Tanbir Hayder,LEG_SPIN,60,,,,692,692
Scott Cameron,,111,,,,692,692
